Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,366,552,145,1435,1585,1719,8,1798,0.00%,.1,.0
TOTAL,366,552,145,1435,1585,1719,8,1798,0.00%,.1,.0
