Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,185,242,72,735,912,1458,32,1467,0.00%,.2,.1
TOTAL,185,242,72,735,912,1458,32,1467,0.00%,.2,.1
