Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,183,799,971,1585,1662,1734,54,1798,0.00%,.1,.0
TOTAL,183,799,971,1585,1662,1734,54,1798,0.00%,.1,.0
