Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,305,660,303,1483,1602,1725,8,1798,0.00%,.1,.0
TOTAL,305,660,303,1483,1602,1725,8,1798,0.00%,.1,.0
