Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,488,416,60,1390,1512,1710,7,1798,0.00%,.1,.1
TOTAL,488,416,60,1390,1512,1710,7,1798,0.00%,.1,.1
