Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,1,271,271,271,271,271,271,271,0.00%,3.7,1.5
TOTAL,1,271,271,271,271,271,271,271,0.00%,3.7,1.5
