Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,184,421,265,1063,1183,1284,105,1303,0.00%,.0,.0
TOTAL,184,421,265,1063,1183,1284,105,1303,0.00%,.0,.0
