Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,355,568,186,1436,1585,1719,8,1798,0.00%,.1,.1
TOTAL,355,568,186,1436,1585,1719,8,1798,0.00%,.1,.1
