Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,122,580,267,1392,1424,1506,54,1585,0.00%,.1,.0
TOTAL,122,580,267,1392,1424,1506,54,1585,0.00%,.1,.0
