Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,72,108,49,230,293,586,32,1458,0.00%,.1,.1
TOTAL,72,108,49,230,293,586,32,1458,0.00%,.1,.1
