Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,416,487,83,1420,1560,1719,7,1798,0.00%,.1,.1
TOTAL,416,487,83,1420,1560,1719,7,1798,0.00%,.1,.1
