Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,125,97,54,209,281,586,32,1458,0.00%,.2,.1
TOTAL,125,97,54,209,281,586,32,1458,0.00%,.2,.1
