Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,288,478,313,1183,1285,1473,105,4005,0.00%,.0,.0
TOTAL,288,478,313,1183,1285,1473,105,4005,0.00%,.0,.0
