Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,12,189,133,288,288,630,113,630,0.00%,.0,.0
TOTAL,12,189,133,288,288,630,113,630,0.00%,.0,.0
