Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,173,841,1069,1587,1662,1734,54,1798,0.00%,.1,.0
TOTAL,173,841,1069,1587,1662,1734,54,1798,0.00%,.1,.0
