Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,295,681,659,1484,1602,1725,51,1798,0.00%,.1,.0
TOTAL,295,681,659,1484,1602,1725,51,1798,0.00%,.1,.0
