Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,2,459,288,630,630,630,288,630,0.00%,.0,.0
TOTAL,2,459,288,630,630,630,288,630,0.00%,.0,.0
