Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,62,116,49,281,310,586,35,1458,0.00%,.1,.1
TOTAL,62,116,49,281,310,586,35,1458,0.00%,.1,.1
