Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,72,142,93,286,297,376,54,380,0.00%,.0,.0
TOTAL,72,142,93,286,297,376,54,380,0.00%,.0,.0
