Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,124,233,225,340,407,502,105,630,0.00%,.0,.0
TOTAL,124,233,225,340,407,502,105,630,0.00%,.0,.0
