Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,63,226,203,407,464,502,113,630,0.00%,.0,.0
TOTAL,63,226,203,407,464,502,113,630,0.00%,.0,.0
