Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,185,423,269,1042,1183,1284,105,1303,0.00%,.0,.0
TOTAL,185,423,269,1042,1183,1284,105,1303,0.00%,.0,.0
