Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,244,807,960,1512,1641,1734,52,1798,0.00%,.1,.0
TOTAL,244,807,960,1512,1641,1734,52,1798,0.00%,.1,.0
