Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,11,144,79,272,272,380,54,380,0.00%,.0,.0
TOTAL,11,144,79,272,272,380,54,380,0.00%,.0,.0
