Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,135,95,55,206,248,586,32,1458,0.00%,.2,.1
TOTAL,135,95,55,206,248,586,32,1458,0.00%,.2,.1
