Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,62,226,185,407,464,502,113,630,0.00%,.0,.0
TOTAL,62,226,185,407,464,502,113,630,0.00%,.0,.0
