Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,1,586,586,586,586,586,586,586,0.00%,1.7,.7
TOTAL,1,586,586,586,586,586,586,586,0.00%,1.7,.7
