Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,255,230,114,622,842,1430,32,1467,0.00%,.2,.1
TOTAL,255,230,114,622,842,1430,32,1467,0.00%,.2,.1
