Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,61,94,49,230,293,329,35,586,0.00%,.2,.1
TOTAL,61,94,49,230,293,329,35,586,0.00%,.2,.1
