Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,294,683,659,1493,1602,1725,51,1798,0.00%,.1,.1
TOTAL,294,683,659,1493,1602,1725,51,1798,0.00%,.1,.1
