Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,538,379,55,1359,1497,1710,7,1798,0.00%,.2,.1
TOTAL,538,379,55,1359,1497,1710,7,1798,0.00%,.2,.1
