Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
Majestic HTTP Request,233,841,1020,1528,1641,1734,54,1798,0.00%,.1,.0
TOTAL,233,841,1020,1528,1641,1734,54,1798,0.00%,.1,.0
